Model,Test RMSE,Train Score,Test Score,Training Time
Linear Regression,284.1794050259268,0.2930382583816876,0.2986357960705599,0.012150049209594727
Decision Tree,179.42294410273252,0.9984613914448377,0.7204146876307144,0.08358383178710938
Random Forest,137.99710657045983,0.9745645432440577,0.8346141474391581,5.061699867248535
